Exchange Date,Close
08-May-2020,19.28
15-May-2020,19.09
22-May-2020,21.33
29-May-2020,21.33
05-Jun-2020,23.17
12-Jun-2020,21.93
19-Jun-2020,24.09
26-Jun-2020,24.66
03-Jul-2020,27.85
10-Jul-2020,28.96
17-Jul-2020,27.74
24-Jul-2020,26.29
31-Jul-2020,26.22
07-Aug-2020,26.36
14-Aug-2020,25.42
21-Aug-2020,25.62
28-Aug-2020,29.50
04-Sep-2020,27.34
11-Sep-2020,28.24
18-Sep-2020,27.97
25-Sep-2020,26.15
02-Oct-2020,27.01
09-Oct-2020,25.71
16-Oct-2020,24.89
23-Oct-2020,25.49
30-Oct-2020,23.70
06-Nov-2020,25.42
13-Nov-2020,26.28
20-Nov-2020,26.74
27-Nov-2020,28.13
04-Dec-2020,30.11
11-Dec-2020,30.52
18-Dec-2020,30.95
25-Dec-2020,32.04
08-Jan-2021,34.80
15-Jan-2021,31.64
22-Jan-2021,34.15
29-Jan-2021,32.88
05-Feb-2021,38.15
12-Feb-2021,39.97
19-Feb-2021,37.37
26-Feb-2021,37.23
05-Mar-2021,38.96
12-Mar-2021,42.77
19-Mar-2021,41.84
26-Mar-2021,41.63
02-Apr-2021,42.37
09-Apr-2021,43.56
16-Apr-2021,44.33
23-Apr-2021,46.86
30-Apr-2021,48.74
07-May-2021,50.33
14-May-2021,56.49
21-May-2021,51.65
28-May-2021,50.95
04-Jun-2021,49.90
11-Jun-2021,52.59
18-Jun-2021,51.81
25-Jun-2021,54.95
02-Jul-2021,57.25
09-Jul-2021,54.17
16-Jul-2021,52.79
23-Jul-2021,50.82
30-Jul-2021,53.27
06-Aug-2021,56.60
13-Aug-2021,55.31
20-Aug-2021,54.32
27-Aug-2021,58.96
03-Sep-2021,61.28
10-Sep-2021,60.86
17-Sep-2021,59.43
24-Sep-2021,62.88
01-Oct-2021,61.99
08-Oct-2021,58.29
15-Oct-2021,59.42
22-Oct-2021,58.24
29-Oct-2021,58.70
05-Nov-2021,59.39
12-Nov-2021,63.27
19-Nov-2021,69.35
26-Nov-2021,72.76
03-Dec-2021,78.25
10-Dec-2021,83.73
17-Dec-2021,73.28
24-Dec-2021,75.81
31-Dec-2021,80.11
07-Jan-2022,85.01
14-Jan-2022,81.73
21-Jan-2022,84.11
28-Jan-2022,88.82
04-Feb-2022,95.97
11-Feb-2022,92.47
18-Feb-2022,89.03
25-Feb-2022,87.72
04-Mar-2022,64.79
11-Mar-2022,76.39
18-Mar-2022,78.52
25-Mar-2022,78.31
01-Apr-2022,78.30
08-Apr-2022,79.89
15-Apr-2022,79.72
22-Apr-2022,88.60
29-Apr-2022,84.01
06-May-2022,91.11
13-May-2022,88.06
20-May-2022,80.01
27-May-2022,83.84
03-Jun-2022,86.50
10-Jun-2022,81.53
17-Jun-2022,81.99
24-Jun-2022,82.98
01-Jul-2022,85.19
08-Jul-2022,82.40
15-Jul-2022,84.98
22-Jul-2022,75.96
29-Jul-2022,78.22
05-Aug-2022,84.40
12-Aug-2022,88.50
19-Aug-2022,97.59
26-Aug-2022,89.94
02-Sep-2022,77.45
09-Sep-2022,65.72
16-Sep-2022,72.87
23-Sep-2022,65.41
30-Sep-2022,66.52
07-Oct-2022,69.62
14-Oct-2022,67.80
21-Oct-2022,68.52
28-Oct-2022,80.93
04-Nov-2022,76.21
11-Nov-2022,75.70
18-Nov-2022,72.36
25-Nov-2022,78.71
02-Dec-2022,87.67
09-Dec-2022,87.84
16-Dec-2022,83.82
23-Dec-2022,86.33
30-Dec-2022,81.07
06-Jan-2023,74.75
13-Jan-2023,77.05
